"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,formulario_cls,,text,"Record ID",,,,,,,,,,,,,
adc_name,formulario_cls,,text,Centro,,,,,,,,,,,,,
subject_id,formulario_cls,,text,"ID del sujeto:",,,number,,,,,,,,,,
form_date,formulario_cls,,text,"Fecha del formulario:",,(M-D-Y),date_mdy,,,,,,,,,,
examiner_initials,formulario_cls,,text,"Iniciales del examinador:",,,,,,,,,,,,,
visit_number,formulario_cls,,text,"Vista No:",,,number,,,,,,,,,,
language_choice,formulario_cls,"INSTRUCCIONES: Este formulario debe ser completado por el entrevistador basándose en la entrevista con el sujeto o el reporte del informante. Seleccione una sola opción para cada pregunta.

Complete este formulario si el sujeto reporta tener etnicidad hispana o latina (UDS Formulario A1, Pregunta 8 = Sí/Yes).",radio,"1. ¿En qué idioma prefiere ser evaluado (en inglés o en español)? Por favor elija uno (no puede decir ""ambos""):","1, Inglés | 2, Expañol",,,,,,,y,,,,,
years_speak_spanish,formulario_cls,,text,"2. ¿Cuántos años ha vivido usted en un ambiente donde generalmente se habla español? (En un país latinoamericano o en otro país de habla hispana?)",,"(años, rango 0-110)",number,0,110,,,,,,,,
years_speak_english,formulario_cls,,text,"3. ¿Cuántos años ha vivido usted en un ambiente donde generalmente se habla inglés? (En Estados Unidos, en otro país de habla inglesa, o en una base militar donde principalmente se habla inglés)?",,"(años, rango 0-110)",number,0,110,,,,,,,,
percentage_spanish,formulario_cls,,text,"4. Por favor aproxime el porcentaje de tiempo en que usted utiliza español en un día normal/promedio:",,"(%, rango 0-100%)**",number,0,100,,,,,,,,
percentage_english,formulario_cls,,text,"5. Por favor aproxime el porcentaje de tiempo en que usted utiliza inglés en un día normal/promedio:",,"(%, rango 0-100%)**",number,0,100,,,,,,,,
level_proficiency_speak_spanish,formulario_cls,"** Nota: La suma de los porcentajes en las preguntas 4 y 5 no pueden exceder 100%.",radio,"6. En su opinión, ¿cuál es su nivel de dominio cuando habla en español? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
level_proficiency_read_spanish,formulario_cls,,radio,"7. En su opinión, ¿cuál es su nivel de dominio cuando lee en español? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
level_proficiency_write_spanish,formulario_cls,,radio,"8. En su opinión, ¿cuál es su nivel de dominio cuando escribe en español? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
level_proficiency_oral_spanish,formulario_cls,,radio,"9. En su opinión, ¿cuál es su nivel de dominio para entender el español hablado/oral? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
average_spanish_level,formulario_cls,,descriptive,"10. Promedio nivel español (preguntas 6-9)",,"(promedio de preguntas 6-9, rango 1-7)",,,,,,,,,,,
level_proficiency_speak_english,formulario_cls,,radio,"11. En su opinión, ¿cuál es su nivel de dominio cuando habla en inglés? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
level_proficiency_read_english,formulario_cls,,radio,"12. En su opinión, ¿cuál es su nivel de dominio cuando lee en inglés? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
level_proficiency_write_english,formulario_cls,,radio,"13. En su opinión, ¿cuál es su nivel de dominio cuando escribe en inglés? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
level_proficiency_oral_english,formulario_cls,,radio,"14. En su opinión, ¿cuál es su nivel de dominio para entender inglés hablado / oral? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
average_spanish_level2_3f1,formulario_cls,,descriptive,"15. Promedio nivel inglés (preguntas 11-14)",,"(promedio de preguntas 11-14, rango 1-7)",,,,,,,,,,,
eng_adc_name,form_cls_linguistic_history_of_subject,,text,"ADC name:",,,,,,,,,,,,,
eng_subject_id,form_cls_linguistic_history_of_subject,,text,"Subject ID:",,,number,,,,,,,,,,
end_form_date,form_cls_linguistic_history_of_subject,,text,"Form date:",,(M-D-Y),date_mdy,,,,,,,,,,
eng_visit_number,form_cls_linguistic_history_of_subject,,text,"Visit #:",,,number,,,,,,,,,,
eng_examiner_initials,form_cls_linguistic_history_of_subject,,text,"Examiner's initials:",,,,,,,,,,,,,
eng_preferred_language,form_cls_linguistic_history_of_subject,"INSTRUCTIONS: This form must be completed by the examiner based on subject interview or informant report. Select only one option for each question.

Complete this form in its entirety if the subject claims Hispanic ethnicity (UDS Form A1, Question 8=Sí/Yes).",radio,"In what language do you prefer to be evaluated (English or Spanish)? Please choose one (you can't say ""both""):","1, English | 2, Spanish",,,,,,,,,,,,
eng_years_speak_spanish,form_cls_linguistic_history_of_subject,,text,"2. How many years have you lived in an environment where people generally speak Spanish (in a Latin American country or other Spanish-speaking country)?",,"(years, range 0-110)",,,,,,,,,,,
eng_years_speak_english,form_cls_linguistic_history_of_subject,,text,"3. How many years have you lived in an environment where people generally speak English (in the USA, other English-speaking country or military base where English is the primary language)?",,"(years, range 0-110)",,,,,,,,,,,
eng_percentage_spanish,form_cls_linguistic_history_of_subject,,text,"4. Please approximate the percentage of time during a normal/average day that you use Spanish:",,"(%, range 0-100%)**",,,,,,,,,,,
eng_percentage_english,form_cls_linguistic_history_of_subject,,text,"5. Please approximate the percentage of time during a normal/average day that you use English:",,"(%, range 0-100%)**",,,,,,,,,,,
eng_proficiency_spanish,form_cls_linguistic_history_of_subject,"** Note: The sum of percentages in Questions 4 and 5 cannot exceed 100%.",radio,"6. In your opinion, what is your level of proficiency when you speak Spanish? Please use the following scale:","1, Almost none | 2, Very poor | 3, Fair | 4, Functional | 5, Good | 6, Very good | 7, Like native speaker",,,,,,,,,,,,
eng_proficiency_read_spanish,form_cls_linguistic_history_of_subject,,radio,"7. In your opinion, what is your level of proficiency when you read Spanish? Please use the following scale:","1, Almost none | 2, Very poor | 3, Fair | 4, Functional | 5, Good | 6, Very good | 7, Like native speaker",,,,,,,,,,,,
