"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,formulario_cls,,text,"Record ID",,,,,,,,,,,,,
adc_name,formulario_cls,,text,Centro,,,,,,,,,,,,,
subject_id,formulario_cls,,text,"ID del sujeto:",,,number,,,,,,,,,,
form_date,formulario_cls,,text,"Fecha del formulario:",,(M-D-Y),date_mdy,,,,,,,,,,
examiner_initials,formulario_cls,,text,"Iniciales del examinador:",,,,,,,,,,,,,
visit_number,formulario_cls,,text,"Vista No:",,,number,,,,,,,,,,
language_choice,formulario_cls,"INSTRUCCIONES: Este formulario debe ser completado por el entrevistador basándose en la entrevista con el sujeto o el reporte del informante. Seleccione una sola opción para cada pregunta.

Complete este formulario si el sujeto reporta tener etnicidad hispana o latina (UDS Formulario A1, Pregunta 8 = Sí/Yes).",radio,"1. ¿En qué idioma prefiere ser evaluado (en inglés o en español)? Por favor elija uno (no puede decir ""ambos""):","1, Inglés | 2, Expañol",,,,,,,y,,,,,
years_speak_spanish,formulario_cls,,text,"2. ¿Cuántos años ha vivido usted en un ambiente donde generalmente se habla español? (En un país latinoamericano o en otro país de habla hispana?)",,"(años, rango 0-110)",number,0,110,,,,,,,,
years_speak_english,formulario_cls,,text,"3. ¿Cuántos años ha vivido usted en un ambiente donde generalmente se habla inglés? (En Estados Unidos, en otro país de habla inglesa, o en una base militar donde principalmente se habla inglés)?",,"(años, rango 0-110)",number,0,110,,,,,,,,
percentage_spanish,formulario_cls,,text,"4. Por favor aproxime el porcentaje de tiempo en que usted utiliza español en un día normal/promedio:",,"(%, rango 0-100%)**",number,0,100,,,,,,,,
percentage_english,formulario_cls,,text,"5. Por favor aproxime el porcentaje de tiempo en que usted utiliza inglés en un día normal/promedio:",,"(%, rango 0-100%)**",number,0,100,,,,,,,,
level_proficiency_speak_spanish,formulario_cls,"** Nota: La suma de los porcentajes en las preguntas 4 y 5 no pueden exceder 100%.",radio,"6. En su opinión, ¿cuál es su nivel de dominio cuando habla en español? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
level_proficiency_read_spanish,formulario_cls,,radio,"7. En su opinión, ¿cuál es su nivel de dominio cuando lee en español? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
level_proficiency_write_spanish,formulario_cls,,radio,"8. En su opinión, ¿cuál es su nivel de dominio cuando escribe en español? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
level_proficiency_oral_spanish,formulario_cls,,radio,"9. En su opinión, ¿cuál es su nivel de dominio para entender el español hablado/oral? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
average_spanish_level,formulario_cls,,descriptive,"10. Promedio nivel español (preguntas 6-9)",,"(promedio de preguntas 6-9, rango 1-7)",,,,,,,,,,,
level_proficiency_speak_english,formulario_cls,,radio,"11. En su opinión, ¿cuál es su nivel de dominio cuando habla en inglés? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
level_proficiency_read_english,formulario_cls,,radio,"12. En su opinión, ¿cuál es su nivel de dominio cuando lee en inglés? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
level_proficiency_write_english,formulario_cls,,radio,"13. En su opinión, ¿cuál es su nivel de dominio cuando escribe en inglés? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
level_proficiency_oral_english,formulario_cls,,radio,"14. En su opinión, ¿cuál es su nivel de dominio para entender inglés hablado / oral? Por favor utilice la siguiente escala:","1, Casi nulo | 2, Muy pobre | 3, Regular (más o menos) | 4, Funcional | 5, Bueno | 6, Muy bueno | 7, Como el de un hablante nativo",,,,,,,,,,,,
average_spanish_level2_3f1,formulario_cls,,descriptive,"15. Promedio nivel inglés (preguntas 11-14)",,"(promedio de preguntas 11-14, rango 1-7)",,,,,,,,,,,
copyright_cls,formulario_cls,,descriptive,"<font color=blue>Adapted with permission. Copyright &#169 2006, 2008, 2015, 2017 University of Washington. Created and published by the ADC Clinical Task Force (John C. Morris, MD, Chair) and the National Alzheimer's Coordinating Center (U01 AG016976 - Walter A. Kukull, PhD, Director)..</font color=blue>           ",,"(promedio de preguntas 11-14, rango 1-7)",,,,,,,,,,,
footer_cls,formulario_cls,,descriptive,"Centro Coordinador Nacional del Alzheimer | (206) 543-8637 | fax: (206) 616-5927 | naccmail@uw.edu | www.alz.washington.edu
<b>Septiembre 2017</b> <font color=red>Formulario CLS: Historia Lingüística del Sujeto</font color=red>",,,,,,,,,,,,,
