"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
instructions_z11,fvp_z1x,,descriptive,"<i>INSTRUCTIONS: This form is to be completed by clinic staff.</i> 



   







Link to  <a href=""http://www.alz.washington.edu/NONMEMBER/UDS/DOCS/VER3/UDS3_fvp_guidebook.pdf""target=""_blank""> NACC Coding Guidebook</a> 











NACC expects and intends that all UDS forms will be attempted on all subjects, but we realize this may be impossible when the patient is terminally ill, or when there is no co-participant, or for other reasons. However, for a subject to be included in the UDS database, <b>Forms Z1, A1, B4, B8, B9, C1/C2, D1, and D2</b> must be submitted, even though these forms may include some items with missing data. An explanation is required below for forms that are not submitted.











KEY: If the specified form was not completed, please enter one of the following codes: 

95 = Physical problem

96 = Cognitive/behavior problem

97 = Other problem

98 = Verbal refusal",,,,,,,,,,,,,
fu_a1lang,fvp_z1x,"A1 - Subject Demographics (Required)",radio,"A1 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_a2lang,fvp_z1x,"A2 - Co-participant Demographics",radio,"A2  Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_a2sub,fvp_z1x,,radio,"A2 Submitted?","1, 1 Yes | 0, 0 No",,,,,,,y,,,,,
fu_a2not,fvp_z1x,,radio,"If not submitted specify reason (see Key)","95, 95 - Physical problem | 96, 96 - Cognitive/behavior problem | 97, 97 - Other problem | 98, 98 - Verbal refusal",,,,,,"[fu_a2sub] = '0'",y,,,,,
fu_a2comm,fvp_z1x,,text,"Comments (provide if form not included)",,,,,,,"[fu_a2sub] = '0'",,,,,,
fu_a3lang,fvp_z1x,"A3 - Subject Family History",radio,"A3 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_a3sub,fvp_z1x,,radio,"A3 Submitted?","1, 1 Yes | 0, 0 No",,,,,,,y,,,,,
fu_a3not,fvp_z1x,,radio,"If not submitted specify reason (see Key)","95, 95 - Physical problem | 96, 96 - Cognitive/behavior problem | 97, 97 - Other problem | 98, 98 - Verbal refusal",,,,,,"[fu_a3sub] = '0'",y,,,,,
fu_a3comm,fvp_z1x,,text,"Comments (provide if form not included)",,,,,,,"[fu_a3sub] = '0'",,,,,,
fu_a4lang,fvp_z1x,"A4 - Subject Medications",radio,"A4 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_a4sub,fvp_z1x,,radio,"A4 Submitted?","1, Yes | 0, No",,,,,,,y,,,,,
fu_a4not,fvp_z1x,,radio,"If not submitted specify reason (see Key)","95, 95 - Physical problem | 96, 96 - Cognitive/behavior problem | 97, 97 - Other problem | 98, 98 - Verbal refusal",,,,,,"[fu_a4sub] = '0'",y,,,,,
fu_a4comm,fvp_z1x,,text,"Comments (provide if form not included)",,,,,,,"[fu_a4sub] = '0'",,,,,,
fu_a5lang,fvp_z1x,"A5 - Subject Health History (Required)",radio,"A5 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_b1lang,fvp_z1x,"B1 - EVALUATION FORM - Physical",radio,"B1 Language","1, 1 English | 2, 2 Spanish",,,,,,,y,,,,,
fu_b1sub,fvp_z1x,,radio,"B1 Submitted?","1, 1 Yes | 0, 0 No",,,,,,,y,,,,,
fu_b1not,fvp_z1x,,radio,"If not submitted specify reason (see Key)","95, 95 - Physical problem | 96, 96 - Cognitive/behavior problem | 97, 97 - Other problem | 98, 98 - Verbal refusal",,,,,,"[fu_b1sub] = '0'",y,,,,,
